Year,Geography,Tenure,Age_Group,Household_Count,Avg_Household_Size,Median_Household_Size
2016,St. Catharines - Niagara  ,Total - Tenure,45 to 54 years,32775.0,2.84,3.0
2016,St. Catharines - Niagara  ,Total - Tenure,55 to 64 years,35675.0,2.19,2.0
2016,St. Catharines - Niagara  ,Total - Tenure,65 to 74 years,29165.0,1.89,2.0
2016,St. Catharines - Niagara  ,Total - Tenure,75 years and over,24480.0,1.63,2.0
2016,St. Catharines - Niagara  ,Owner,Total - Age group of primary household maintainer,122755.0,2.48,2.02
2016,St. Catharines - Niagara  ,Owner,15 to 24 years,860.0,2.04,2.0
2016,St. Catharines - Niagara  ,Owner,25 to 34 years,10190.0,2.65,2.02
2016,St. Catharines - Niagara  ,Owner,35 to 44 years,16460.0,3.4,4.0
2016,St. Catharines - Niagara  ,Owner,45 to 54 years,24600.0,3.06,3.0
2016,St. Catharines - Niagara  ,Owner,55 to 64 years,27940.0,2.33,2.0
2016,St. Catharines - Niagara  ,Owner,65 to 74 years,23480.0,1.98,2.0
2016,St. Catharines - Niagara  ,Owner,75 years and over,19220.0,1.7,2.0
2016,St. Catharines - Niagara  ,Renter,Total - Age group of primary household maintainer,45730.0,2.02,2.0
2016,St. Catharines - Niagara  ,Renter,15 to 24 years,3475.0,2.12,2.0
2016,St. Catharines - Niagara  ,Renter,25 to 34 years,8205.0,2.38,2.0
2016,St. Catharines - Niagara  ,Renter,35 to 44 years,7200.0,2.62,2.02
2016,St. Catharines - Niagara  ,Renter,45 to 54 years,8170.0,2.17,2.0
2016,St. Catharines - Niagara  ,Renter,55 to 64 years,7730.0,1.7,1.01
2016,St. Catharines - Niagara  ,Renter,65 to 74 years,5690.0,1.52,1.01
2016,St. Catharines - Niagara  ,Renter,75 years and over,5255.0,1.36,1.01
2016,Kitchener - Cambridge - Waterloo  ,Total - Tenure,Total - Age group of primary household maintainer,200495.0,2.57,2.02
2016,Kitchener - Cambridge - Waterloo  ,Total - Tenure,15 to 24 years,7500.0,2.11,2.0
2016,Kitchener - Cambridge - Waterloo  ,Total - Tenure,25 to 34 years,31545.0,2.47,2.02
2016,Kitchener - Cambridge - Waterloo  ,Total - Tenure,35 to 44 years,36570.0,3.32,4.0
2016,Kitchener - Cambridge - Waterloo  ,Total - Tenure,45 to 54 years,43275.0,3.03,3.0
2016,Kitchener - Cambridge - Waterloo  ,Total - Tenure,55 to 64 years,37845.0,2.39,2.02
2016,Kitchener - Cambridge - Waterloo  ,Total - Tenure,65 to 74 years,25095.0,1.92,2.0
2016,Kitchener - Cambridge - Waterloo  ,Total - Tenure,75 years and over,18670.0,1.66,2.0
2016,Kitchener - Cambridge - Waterloo  ,Owner,Total - Age group of primary household maintainer,136140.0,2.78,2.02
2016,Kitchener - Cambridge - Waterloo  ,Owner,15 to 24 years,1085.0,2.07,2.0
2016,Kitchener - Cambridge - Waterloo  ,Owner,25 to 34 years,15800.0,2.68,2.02
2016,Kitchener - Cambridge - Waterloo  ,Owner,35 to 44 years,25705.0,3.57,4.0
2016,Kitchener - Cambridge - Waterloo  ,Owner,45 to 54 years,32270.0,3.28,3.02
2016,Kitchener - Cambridge - Waterloo  ,Owner,55 to 64 years,29130.0,2.55,2.02
2016,Kitchener - Cambridge - Waterloo  ,Owner,65 to 74 years,18720.0,2.05,2.0
2016,Kitchener - Cambridge - Waterloo  ,Owner,75 years and over,13435.0,1.77,2.0
2016,Kitchener - Cambridge - Waterloo  ,Renter,Total - Age group of primary household maintainer,64355.0,2.14,2.0
2016,Kitchener - Cambridge - Waterloo  ,Renter,15 to 24 years,6420.0,2.12,2.0
2016,Kitchener - Cambridge - Waterloo  ,Renter,25 to 34 years,15740.0,2.25,2.0
2016,Kitchener - Cambridge - Waterloo  ,Renter,35 to 44 years,10865.0,2.75,2.02
2016,Kitchener - Cambridge - Waterloo  ,Renter,45 to 54 years,11015.0,2.32,2.0
2016,Kitchener - Cambridge - Waterloo  ,Renter,55 to 64 years,8710.0,1.84,1.01
2016,Kitchener - Cambridge - Waterloo  ,Renter,65 to 74 years,6375.0,1.56,1.01
2016,Kitchener - Cambridge - Waterloo  ,Renter,75 years and over,5235.0,1.39,1.01
2016,Brantford  ,Total - Tenure,Total - Age group of primary household maintainer,52530.0,2.51,2.02
2016,Brantford  ,Total - Tenure,15 to 24 years,1260.0,1.98,2.0
2016,Brantford  ,Total - Tenure,25 to 34 years,6895.0,2.78,3.0
2016,Brantford  ,Total - Tenure,35 to 44 years,8690.0,3.36,4.0
2016,Brantford  ,Total - Tenure,45 to 54 years,10645.0,2.9,3.0
2016,Brantford  ,Total - Tenure,55 to 64 years,10985.0,2.25,2.0
2016,Brantford  ,Total - Tenure,65 to 74 years,7995.0,1.93,2.0
2016,Brantford  ,Total - Tenure,75 years and over,6060.0,1.62,2.0
2016,Brantford  ,Owner,Total - Age group of primary household maintainer,38000.0,2.66,2.02
2016,Brantford  ,Owner,15 to 24 years,195.0,1.95,2.0
2016,Brantford  ,Owner,25 to 34 years,3995.0,2.94,3.0
2016,Brantford  ,Owner,35 to 44 years,6290.0,3.56,4.0
2016,Brantford  ,Owner,45 to 54 years,8040.0,3.14,3.0
2016,Brantford  ,Owner,55 to 64 years,8585.0,2.4,2.02
2016,Brantford  ,Owner,65 to 74 years,6240.0,2.04,2.0
2016,Brantford  ,Owner,75 years and over,4655.0,1.7,2.0
2016,Brantford  ,Renter,Total - Age group of primary household maintainer,14525.0,2.11,2.0
2016,Brantford  ,Renter,15 to 24 years,1065.0,1.99,2.0
2016,Brantford  ,Renter,25 to 34 years,2900.0,2.56,2.02
2016,Brantford  ,Renter,35 to 44 years,2405.0,2.83,3.0
2016,Brantford  ,Renter,45 to 54 years,2605.0,2.14,2.0
2016,Brantford  ,Renter,55 to 64 years,2400.0,1.72,1.01
2016,Brantford  ,Renter,65 to 74 years,1755.0,1.52,1.01
2016,Brantford  ,Renter,75 years and over,1405.0,1.36,1.01
2016,Guelph  ,Total - Tenure,Total - Age group of primary household maintainer,59280.0,2.53,2.02
2016,Guelph  ,Total - Tenure,15 to 24 years,2470.0,2.03,2.0
2016,Guelph  ,Total - Tenure,25 to 34 years,8940.0,2.37,2.02
2016,Guelph  ,Total - Tenure,35 to 44 years,10700.0,3.29,3.02
2016,Guelph  ,Total - Tenure,45 to 54 years,12360.0,3.06,3.0
2016,Guelph  ,Total - Tenure,55 to 64 years,11320.0,2.34,2.0
2016,Guelph  ,Total - Tenure,65 to 74 years,7515.0,1.89,2.0
2016,Guelph  ,Total - Tenure,75 years and over,5980.0,1.67,2.0
2016,Guelph  ,Owner,Total - Age group of primary household maintainer,41605.0,2.73,2.02
2016,Guelph  ,Owner,15 to 24 years,415.0,1.86,2.0
2016,Guelph  ,Owner,25 to 34 years,4315.0,2.63,2.02
2016,Guelph  ,Owner,35 to 44 years,7665.0,3.54,4.0
2016,Guelph  ,Owner,45 to 54 years,9680.0,3.3,3.02
2016,Guelph  ,Owner,55 to 64 years,8865.0,2.51,2.02
2016,Guelph  ,Owner,65 to 74 years,5995.0,1.99,2.0
2016,Guelph  ,Owner,75 years and over,4675.0,1.75,2.0
2016,Guelph  ,Renter,Total - Age group of primary household maintainer,17670.0,2.06,2.0
2016,Guelph  ,Renter,15 to 24 years,2055.0,2.06,2.0
2016,Guelph  ,Renter,25 to 34 years,4625.0,2.14,2.0
2016,Guelph  ,Renter,35 to 44 years,3035.0,2.66,2.02
2016,Guelph  ,Renter,45 to 54 years,2680.0,2.23,2.0
2016,Guelph  ,Renter,55 to 64 years,2455.0,1.73,1.01
2016,Guelph  ,Renter,65 to 74 years,1520.0,1.5,1.01
2016,Guelph  ,Renter,75 years and over,1310.0,1.39,1.01
2016,London  ,Total - Tenure,Total - Age group of primary household maintainer,206450.0,2.36,2.0
2016,London  ,Total - Tenure,15 to 24 years,9225.0,1.87,2.0
2016,London  ,Total - Tenure,25 to 34 years,30875.0,2.34,2.0
2016,London  ,Total - Tenure,35 to 44 years,33115.0,3.15,3.02
2016,London  ,Total - Tenure,45 to 54 years,40765.0,2.83,3.0
2016,London  ,Total - Tenure,55 to 64 years,40090.0,2.18,2.0
2016,London  ,Total - Tenure,65 to 74 years,29215.0,1.81,2.0
2016,London  ,Total - Tenure,75 years and over,23170.0,1.6,2.0
2016,London  ,Owner,Total - Age group of primary household maintainer,132170.0,2.58,2.02
2016,London  ,Owner,15 to 24 years,1070.0,1.98,2.0
2016,London  ,Owner,25 to 34 years,13320.0,2.64,2.02
2016,London  ,Owner,35 to 44 years,21705.0,3.41,4.0
2016,London  ,Owner,45 to 54 years,29085.0,3.11,3.0
2016,London  ,Owner,55 to 64 years,29400.0,2.36,2.02
2016,London  ,Owner,65 to 74 years,21795.0,1.93,2.0
2016,London  ,Owner,75 years and over,15790.0,1.71,2.0
2016,London  ,Renter,Total - Age group of primary household maintainer,74275.0,1.97,2.0
2016,London  ,Renter,15 to 24 years,8155.0,1.86,2.0
2016,London  ,Renter,25 to 34 years,17550.0,2.12,2.0
2016,London  ,Renter,35 to 44 years,11405.0,2.65,2.02
2016,London  ,Renter,45 to 54 years,11680.0,2.14,2.0
2016,London  ,Renter,55 to 64 years,10690.0,1.66,1.01
2016,London  ,Renter,65 to 74 years,7420.0,1.46,1.01
2016,London  ,Renter,75 years and over,7380.0,1.35,1.01
2016,Windsor  ,Total - Tenure,Total - Age group of primary household maintainer,132915.0,2.45,2.0
2016,Windsor  ,Total - Tenure,15 to 24 years,3890.0,2.02,2.0
2016,Windsor  ,Total - Tenure,25 to 34 years,15800.0,2.47,2.02
2016,Windsor  ,Total - Tenure,35 to 44 years,22090.0,3.19,3.02
2016,Windsor  ,Total - Tenure,45 to 54 years,28655.0,2.92,3.0
2016,Windsor  ,Total - Tenure,55 to 64 years,27210.0,2.29,2.0
2016,Windsor  ,Total - Tenure,65 to 74 years,19680.0,1.86,2.0
2016,Windsor  ,Total - Tenure,75 years and over,15595.0,1.61,2.0
2016,Windsor  ,Owner,Total - Age group of primary household maintainer,95240.0,2.61,2.02
2016,Windsor  ,Owner,15 to 24 years,715.0,2.05,2.0
2016,Windsor  ,Owner,25 to 34 years,8315.0,2.69,2.02
2016,Windsor  ,Owner,35 to 44 years,15530.0,3.4,4.0
2016,Windsor  ,Owner,45 to 54 years,21565.0,3.15,3.02
2016,Windsor  ,Owner,55 to 64 years,21430.0,2.44,2.02
2016,Windsor  ,Owner,65 to 74 years,15560.0,1.96,2.0
2016,Windsor  ,Owner,75 years and over,12120.0,1.69,2.0
2016,Windsor  ,Renter,Total - Age group of primary household maintainer,37675.0,2.04,2.0
2016,Windsor  ,Renter,15 to 24 years,3170.0,2.01,2.0
2016,Windsor  ,Renter,25 to 34 years,7485.0,2.24,2.0
2016,Windsor  ,Renter,35 to 44 years,6560.0,2.7,2.02
2016,Windsor  ,Renter,45 to 54 years,7085.0,2.21,2.0
2016,Windsor  ,Renter,55 to 64 years,5780.0,1.7,1.01
2016,Windsor  ,Renter,65 to 74 years,4115.0,1.45,1.01
2016,Windsor  ,Renter,75 years and over,3480.0,1.34,1.01
2016,Barrie  ,Total - Tenure,Total - Age group of primary household maintainer,72535.0,2.68,2.02
2016,Barrie  ,Total - Tenure,15 to 24 years,1440.0,2.2,2.0
2016,Barrie  ,Total - Tenure,25 to 34 years,9925.0,2.67,2.02
2016,Barrie  ,Total - Tenure,35 to 44 years,13710.0,3.39,4.0
2016,Barrie  ,Total - Tenure,45 to 54 years,17145.0,3.11,3.0
2016,Barrie  ,Total - Tenure,55 to 64 years,14345.0,2.47,2.02
2016,Barrie  ,Total - Tenure,65 to 74 years,8990.0,1.98,2.0
2016,Barrie  ,Total - Tenure,75 years and over,6985.0,1.68,2.0
2016,Barrie  ,Owner,Total - Age group of primary household maintainer,55200.0,2.8,2.02
2016,Barrie  ,Owner,15 to 24 years,315.0,2.06,2.0
2016,Barrie  ,Owner,25 to 34 years,5820.0,2.74,3.0
2016,Barrie  ,Owner,35 to 44 years,10485.0,3.54,4.0
2016,Barrie  ,Owner,45 to 54 years,14065.0,3.25,3.02
2016,Barrie  ,Owner,55 to 64 years,11960.0,2.56,2.02
2016,Barrie  ,Owner,65 to 74 years,7270.0,2.05,2.0
2016,Barrie  ,Owner,75 years and over,5285.0,1.77,2.0
2016,Barrie  ,Renter,Total - Age group of primary household maintainer,17335.0,2.31,2.0
2016,Barrie  ,Renter,15 to 24 years,1125.0,2.24,2.0
2016,Barrie  ,Renter,25 to 34 years,4105.0,2.58,2.02
2016,Barrie  ,Renter,35 to 44 years,3230.0,2.92,3.0
2016,Barrie  ,Renter,45 to 54 years,3080.0,2.48,2.02
2016,Barrie  ,Renter,55 to 64 years,2385.0,1.99,2.0
2016,Barrie  ,Renter,65 to 74 years,1715.0,1.67,1.01
2016,Barrie  ,Renter,75 years and over,1700.0,1.41,1.01
2016,Greater Sudbury / Grand Sudbury  ,Total - Tenure,Total - Age group of primary household maintainer,70445.0,2.3,2.0
2016,Greater Sudbury / Grand Sudbury  ,Total - Tenure,15 to 24 years,2570.0,1.92,2.0
2016,Greater Sudbury / Grand Sudbury  ,Total - Tenure,25 to 34 years,9890.0,2.5,2.02
2016,Greater Sudbury / Grand Sudbury  ,Total - Tenure,35 to 44 years,11070.0,3.09,3.02
2016,Greater Sudbury / Grand Sudbury  ,Total - Tenure,45 to 54 years,14210.0,2.65,2.02
2016,Greater Sudbury / Grand Sudbury  ,Total - Tenure,55 to 64 years,13845.0,2.02,2.0
2016,Greater Sudbury / Grand Sudbury  ,Total - Tenure,65 to 74 years,10465.0,1.81,2.0
2016,Greater Sudbury / Grand Sudbury  ,Total - Tenure,75 years and over,8395.0,1.59,2.0
2016,Greater Sudbury / Grand Sudbury  ,Owner,Total - Age group of primary household maintainer,46555.0,2.53,2.02
2016,Greater Sudbury / Grand Sudbury  ,Owner,15 to 24 years,445.0,1.96,2.0
2016,Greater Sudbury / Grand Sudbury  ,Owner,25 to 34 years,4890.0,2.77,3.0
2016,Greater Sudbury / Grand Sudbury  ,Owner,35 to 44 years,7585.0,3.42,4.0
2016,Greater Sudbury / Grand Sudbury  ,Owner,45 to 54 years,10305.0,2.92,3.0
2016,Greater Sudbury / Grand Sudbury  ,Owner,55 to 64 years,10230.0,2.23,2.0
2016,Greater Sudbury / Grand Sudbury  ,Owner,65 to 74 years,7515.0,1.96,2.0
2016,Greater Sudbury / Grand Sudbury  ,Owner,75 years and over,5585.0,1.73,2.0
2016,Greater Sudbury / Grand Sudbury  ,Renter,Total - Age group of primary household maintainer,23835.0,1.85,2.0
2016,Greater Sudbury / Grand Sudbury  ,Renter,15 to 24 years,2125.0,1.91,2.0
2016,Greater Sudbury / Grand Sudbury  ,Renter,25 to 34 years,4995.0,2.24,2.0
2016,Greater Sudbury / Grand Sudbury  ,Renter,35 to 44 years,3465.0,2.37,2.0
2016,Greater Sudbury / Grand Sudbury  ,Renter,45 to 54 years,3900.0,1.91,2.0
2016,Greater Sudbury / Grand Sudbury  ,Renter,55 to 64 years,3610.0,1.44,1.01
2016,Greater Sudbury / Grand Sudbury  ,Renter,65 to 74 years,2945.0,1.43,1.01
2016,Greater Sudbury / Grand Sudbury  ,Renter,75 years and over,2805.0,1.31,1.01
2016,Thunder Bay  ,Total - Tenure,Total - Age group of primary household maintainer,52545.0,2.26,2.0
2016,Thunder Bay  ,Total - Tenure,15 to 24 years,1615.0,2.1,2.0
2016,Thunder Bay  ,Total - Tenure,25 to 34 years,6755.0,2.39,2.02
2016,Thunder Bay  ,Total - Tenure,35 to 44 years,7480.0,3.09,3.0
2016,Thunder Bay  ,Total - Tenure,45 to 54 years,10025.0,2.64,2.02
2016,Thunder Bay  ,Total - Tenure,55 to 64 years,11570.0,2.1,2.0
2016,Thunder Bay  ,Total - Tenure,65 to 74 years,8245.0,1.79,2.0
2016,Thunder Bay  ,Total - Tenure,75 years and over,6850.0,1.56,1.01
2016,Thunder Bay  ,Owner,Total - Age group of primary household maintainer,37800.0,2.4,2.02
2016,Thunder Bay  ,Owner,15 to 24 years,350.0,1.77,2.0
2016,Thunder Bay  ,Owner,25 to 34 years,3665.0,2.49,2.02
2016,Thunder Bay  ,Owner,35 to 44 years,5380.0,3.3,4.0
2016,Thunder Bay  ,Owner,45 to 54 years,7590.0,2.87,3.0
2016,Thunder Bay  ,Owner,55 to 64 years,9145.0,2.25,2.0
2016,Thunder Bay  ,Owner,65 to 74 years,6520.0,1.89,2.0
2016,Thunder Bay  ,Owner,75 years and over,5145.0,1.66,2.0
2016,Thunder Bay  ,Renter,Total - Age group of primary household maintainer,14725.0,1.91,2.0
2016,Thunder Bay  ,Renter,15 to 24 years,1270.0,2.19,2.0
2016,Thunder Bay  ,Renter,25 to 34 years,3090.0,2.27,2.0
2016,Thunder Bay  ,Renter,35 to 44 years,2095.0,2.55,2.02
2016,Thunder Bay  ,Renter,45 to 54 years,2425.0,1.92,2.0
2016,Thunder Bay  ,Renter,55 to 64 years,2420.0,1.55,1.01
2016,Thunder Bay  ,Renter,65 to 74 years,1725.0,1.4,1.01
2016,Thunder Bay  ,Renter,75 years and over,1705.0,1.24,1.01
2016,Winnipeg  ,Total - Tenure,Total - Age group of primary household maintainer,306550.0,2.48,2.02
2016,Winnipeg  ,Total - Tenure,15 to 24 years,9875.0,2.05,2.0
2016,Winnipeg  ,Total - Tenure,25 to 34 years,47530.0,2.43,2.02
2016,Winnipeg  ,Total - Tenure,35 to 44 years,55155.0,3.25,3.02
2016,Winnipeg  ,Total - Tenure,45 to 54 years,61485.0,2.97,3.0
2016,Winnipeg  ,Total - Tenure,55 to 64 years,60050.0,2.29,2.0
2016,Winnipeg  ,Total - Tenure,65 to 74 years,41045.0,1.86,2.0
2016,Winnipeg  ,Total - Tenure,75 years and over,31405.0,1.58,1.01
2016,Winnipeg  ,Owner,Total - Age group of primary household maintainer,206290.0,2.68,2.02
2016,Winnipeg  ,Owner,15 to 24 years,1705.0,2.15,2.0
2016,Winnipeg  ,Owner,25 to 34 years,23865.0,2.59,2.02
2016,Winnipeg  ,Owner,35 to 44 years,37675.0,3.46,4.0
2016,Winnipeg  ,Owner,45 to 54 years,45775.0,3.19,3.02
2016,Winnipeg  ,Owner,55 to 64 years,46215.0,2.48,2.02
2016,Winnipeg  ,Owner,65 to 74 years,30485.0,2.01,2.0
2016,Winnipeg  ,Owner,75 years and over,20560.0,1.74,2.0
2016,Winnipeg  ,Renter,Total - Age group of primary household maintainer,100150.0,2.07,2.0
2016,Winnipeg  ,Renter,15 to 24 years,8170.0,2.03,2.0
2016,Winnipeg  ,Renter,25 to 34 years,23645.0,2.27,2.0
2016,Winnipeg  ,Renter,35 to 44 years,17460.0,2.78,3.0
2016,Winnipeg  ,Renter,45 to 54 years,15685.0,2.32,2.0
2016,Winnipeg  ,Renter,55 to 64 years,13805.0,1.68,1.01
2016,Winnipeg  ,Renter,65 to 74 years,10550.0,1.44,1.01
2016,Winnipeg  ,Renter,75 years and over,10840.0,1.29,1.01
2016,Regina  ,Total - Tenure,Total - Age group of primary household maintainer,94955.0,2.45,2.0
2016,Regina  ,Total - Tenure,15 to 24 years,3900.0,2.07,2.0
2016,Regina  ,Total - Tenure,25 to 34 years,17670.0,2.54,2.02
2016,Regina  ,Total - Tenure,35 to 44 years,17850.0,3.21,3.02
2016,Regina  ,Total - Tenure,45 to 54 years,17650.0,2.86,3.0
2016,Regina  ,Total - Tenure,55 to 64 years,17690.0,2.14,2.0
2016,Regina  ,Total - Tenure,65 to 74 years,10930.0,1.79,2.0
2016,Regina  ,Total - Tenure,75 years and over,9260.0,1.57,1.01
2016,Regina  ,Owner,Total - Age group of primary household maintainer,66385.0,2.56,2.02
2016,Regina  ,Owner,15 to 24 years,795.0,1.96,2.0
2016,Regina  ,Owner,25 to 34 years,9490.0,2.63,2.02
2016,Regina  ,Owner,35 to 44 years,12855.0,3.35,4.0
2016,Regina  ,Owner,45 to 54 years,13615.0,2.98,3.0
2016,Regina  ,Owner,55 to 64 years,14505.0,2.25,2.0
2016,Regina  ,Owner,65 to 74 years,8800.0,1.88,2.0
2016,Regina  ,Owner,75 years and over,6320.0,1.7,2.0
2016,Regina  ,Renter,Total - Age group of primary household maintainer,28570.0,2.19,2.0
2016,Regina  ,Renter,15 to 24 years,3105.0,2.1,2.0
2016,Regina  ,Renter,25 to 34 years,8180.0,2.44,2.0
2016,Regina  ,Renter,35 to 44 years,4990.0,2.84,3.0
2016,Regina  ,Renter,45 to 54 years,4035.0,2.44,2.0
2016,Regina  ,Renter,55 to 64 years,3180.0,1.63,1.01
2016,Regina  ,Renter,65 to 74 years,2140.0,1.41,1.01
2016,Regina  ,Renter,75 years and over,2935.0,1.3,1.01
2016,Saskatoon  ,Total - Tenure,Total - Age group of primary household maintainer,115285.0,2.51,2.02
2016,Saskatoon  ,Total - Tenure,15 to 24 years,5810.0,1.98,2.0
2016,Saskatoon  ,Total - Tenure,25 to 34 years,22605.0,2.54,2.02
2016,Saskatoon  ,Total - Tenure,35 to 44 years,21620.0,3.31,3.02
2016,Saskatoon  ,Total - Tenure,45 to 54 years,21335.0,2.95,3.0
2016,Saskatoon  ,Total - Tenure,55 to 64 years,20930.0,2.19,2.0
2016,Saskatoon  ,Total - Tenure,65 to 74 years,12345.0,1.87,2.0
2016,Saskatoon  ,Total - Tenure,75 years and over,10630.0,1.54,1.01
2016,Saskatoon  ,Owner,Total - Age group of primary household maintainer,80900.0,2.63,2.02
2016,Saskatoon  ,Owner,15 to 24 years,1375.0,1.97,2.0
2016,Saskatoon  ,Owner,25 to 34 years,12895.0,2.64,2.02
2016,Saskatoon  ,Owner,35 to 44 years,15360.0,3.47,4.0
2016,Saskatoon  ,Owner,45 to 54 years,16475.0,3.09,3.0
2016,Saskatoon  ,Owner,55 to 64 years,17090.0,2.29,2.0
2016,Saskatoon  ,Owner,65 to 74 years,10050.0,1.95,2.0
2016,Saskatoon  ,Owner,75 years and over,7650.0,1.65,2.0
2016,Saskatoon  ,Renter,Total - Age group of primary household maintainer,34305.0,2.22,2.0
2016,Saskatoon  ,Renter,15 to 24 years,4430.0,1.98,2.0
2016,Saskatoon  ,Renter,25 to 34 years,9690.0,2.4,2.0
2016,Saskatoon  ,Renter,35 to 44 years,6245.0,2.92,3.0
2016,Saskatoon  ,Renter,45 to 54 years,4845.0,2.48,2.0
2016,Saskatoon  ,Renter,55 to 64 years,3825.0,1.75,1.01
2016,Saskatoon  ,Renter,65 to 74 years,2285.0,1.52,1.01
2016,Saskatoon  ,Renter,75 years and over,2980.0,1.25,1.0
2016,Lethbridge  ,Total - Tenure,Total - Age group of primary household maintainer,45695.0,2.49,2.02
2016,Lethbridge  ,Total - Tenure,15 to 24 years,2810.0,2.16,2.0
2016,Lethbridge  ,Total - Tenure,25 to 34 years,8215.0,2.78,2.02
2016,Lethbridge  ,Total - Tenure,35 to 44 years,7490.0,3.44,4.0
2016,Lethbridge  ,Total - Tenure,45 to 54 years,7860.0,2.86,3.0
2016,Lethbridge  ,Total - Tenure,55 to 64 years,8535.0,2.11,2.0
2016,Lethbridge  ,Total - Tenure,65 to 74 years,6155.0,1.84,2.0
2016,Lethbridge  ,Total - Tenure,75 years and over,4640.0,1.62,2.0
2016,Lethbridge  ,Owner,Total - Age group of primary household maintainer,32400.0,2.58,2.02
2016,Lethbridge  ,Owner,15 to 24 years,620.0,2.18,2.0
2016,Lethbridge  ,Owner,25 to 34 years,4570.0,2.95,3.0
2016,Lethbridge  ,Owner,35 to 44 years,5100.0,3.64,4.0
2016,Lethbridge  ,Owner,45 to 54 years,6075.0,3.02,3.0
2016,Lethbridge  ,Owner,55 to 64 years,7060.0,2.21,2.0
2016,Lethbridge  ,Owner,65 to 74 years,5025.0,1.93,2.0
2016,Lethbridge  ,Owner,75 years and over,3945.0,1.66,2.0
2016,Lethbridge  ,Renter,Total - Age group of primary household maintainer,13300.0,2.28,2.0
2016,Lethbridge  ,Renter,15 to 24 years,2185.0,2.15,2.0
2016,Lethbridge  ,Renter,25 to 34 years,3640.0,2.56,2.02
2016,Lethbridge  ,Renter,35 to 44 years,2385.0,3.01,3.0
2016,Lethbridge  ,Renter,45 to 54 years,1785.0,2.32,2.0
2016,Lethbridge  ,Renter,55 to 64 years,1475.0,1.62,1.01
2016,Lethbridge  ,Renter,65 to 74 years,1135.0,1.42,1.01
2016,Lethbridge  ,Renter,75 years and over,690.0,1.4,1.01
2016,Calgary  ,Total - Tenure,Total - Age group of primary household maintainer,519690.0,2.65,2.02
2016,Calgary  ,Total - Tenure,15 to 24 years,14370.0,2.07,2.0
2016,Calgary  ,Total - Tenure,25 to 34 years,98930.0,2.42,2.02
2016,Calgary  ,Total - Tenure,35 to 44 years,114165.0,3.27,3.02
2016,Calgary  ,Total - Tenure,45 to 54 years,111535.0,3.08,3.0
2016,Calgary  ,Total - Tenure,55 to 64 years,95635.0,2.4,2.02
2016,Calgary  ,Total - Tenure,65 to 74 years,51455.0,1.98,2.0
2016,Calgary  ,Total - Tenure,75 years and over,33605.0,1.69,2.0
2016,Calgary  ,Owner,Total - Age group of primary household maintainer,379225.0,2.77,2.02
2016,Calgary  ,Owner,15 to 24 years,3180.0,2.07,2.0
2016,Calgary  ,Owner,25 to 34 years,54100.0,2.56,2.02
2016,Calgary  ,Owner,35 to 44 years,83170.0,3.43,4.0
2016,Calgary  ,Owner,45 to 54 years,88600.0,3.22,3.02
2016,Calgary  ,Owner,55 to 64 years,79670.0,2.5,2.02
2016,Calgary  ,Owner,65 to 74 years,42910.0,2.05,2.0
2016,Calgary  ,Owner,75 years and over,27595.0,1.76,2.0
2016,Calgary  ,Renter,Total - Age group of primary household maintainer,140370.0,2.3,2.0
2016,Calgary  ,Renter,15 to 24 years,11190.0,2.07,2.0
2016,Calgary  ,Renter,25 to 34 years,44810.0,2.25,2.0
2016,Calgary  ,Renter,35 to 44 years,30975.0,2.84,3.0
2016,Calgary  ,Renter,45 to 54 years,22900.0,2.55,2.02
2016,Calgary  ,Renter,55 to 64 years,15955.0,1.94,2.0
2016,Calgary  ,Renter,65 to 74 years,8540.0,1.62,1.01
2016,Calgary  ,Renter,75 years and over,6000.0,1.36,1.01
2016,Edmonton  ,Total - Tenure,Total - Age group of primary household maintainer,502145.0,2.58,2.02
2016,Edmonton  ,Total - Tenure,15 to 24 years,19675.0,2.08,2.0
2016,Edmonton  ,Total - Tenure,25 to 34 years,97235.0,2.5,2.02
2016,Edmonton  ,Total - Tenure,35 to 44 years,100380.0,3.29,3.02
2016,Edmonton  ,Total - Tenure,45 to 54 years,99730.0,2.99,3.0
2016,Edmonton  ,Total - Tenure,55 to 64 years,92600.0,2.33,2.0
2016,Edmonton  ,Total - Tenure,65 to 74 years,54370.0,1.94,2.0
2016,Edmonton  ,Total - Tenure,75 years and over,38155.0,1.69,2.0
2016,Edmonton  ,Owner,Total - Age group of primary household maintainer,349565.0,2.7,2.02
2016,Edmonton  ,Owner,15 to 24 years,4290.0,2.09,2.0
2016,Edmonton  ,Owner,25 to 34 years,51875.0,2.63,2.02
2016,Edmonton  ,Owner,35 to 44 years,68235.0,3.47,4.0
2016,Edmonton  ,Owner,45 to 54 years,75195.0,3.16,3.0
2016,Edmonton  ,Owner,55 to 64 years,74415.0,2.43,2.02
2016,Edmonton  ,Owner,65 to 74 years,44725.0,2.02,2.0
2016,Edmonton  ,Owner,75 years and over,30835.0,1.76,2.0
2016,Edmonton  ,Renter,Total - Age group of primary household maintainer,151710.0,2.3,2.0
2016,Edmonton  ,Renter,15 to 24 years,15340.0,2.08,2.0
2016,Edmonton  ,Renter,25 to 34 years,45235.0,2.34,2.0
2016,Edmonton  ,Renter,35 to 44 years,31970.0,2.89,3.0
2016,Edmonton  ,Renter,45 to 54 years,24325.0,2.45,2.0
